,output_area,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,fast_bin_pct_prems,gig_bin_prems,gig_qbin_prems,uk_country,oa21cd,rgn22cd,rgn22nm,rgn22nmw,OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,11_or_under
20,E00041394,145,144,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0,0,0,0,0,0,0,0,0,99.3,0.0,0.0,0.0,0.0,0.0,144,0,0,0,0,0,"(-0.1, 20.0]",,First quartile,England,E00041394,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041394,E01008167,392,5,3,4,5,3,3,2,4,6,2,3,5,3,3,0,3,4,2,8,17,16,7,12,3,6,9,5,6,9,10,5,6,8,8,12,11,6,9,4,7,7,9,7,2,9,4,1,5,2,5,4,3,9,4,2,1,2,0,4,3,5,2,6,1,2,5,2,3,5,2,2,3,5,4,4,2,1,2,3,0,0,0,1,1,0,1,1,1,0,1,0,45
21,E00041395,132,132,100.0,99.2,98.5,0.0,0.0,0.0,0.0,98.5,0.0,0.0,132,131,130,0,0,0,0,130,0,0,1.5,98.5,0.0,0.0,0.0,0.0,2,130,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041395,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041395,E01008168,690,2,5,4,4,3,8,7,14,8,7,7,5,4,6,1,3,27,91,105,81,29,8,5,4,6,8,10,3,11,4,10,6,5,6,8,5,5,4,6,6,8,3,3,2,6,3,6,2,3,2,3,5,3,2,3,2,2,3,6,5,5,3,5,3,10,0,1,1,4,7,0,8,8,1,0,3,2,1,3,0,1,1,1,2,1,1,2,1,0,0,2,74
22,E00041397,130,130,100.0,100.0,89.2,0.0,0.0,0.0,0.0,70.8,0.0,0.0,130,130,116,0,0,0,0,92,0,0,10.8,89.2,0.0,0.0,0.0,0.0,14,116,0,0,0,0,"(80.0, 100.0]","(37.0, 102.0]",Second quartile,England,E00041397,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041397,E01008167,307,1,1,3,5,5,1,5,3,4,3,4,5,4,4,4,2,8,1,3,2,6,8,2,3,8,2,4,4,5,4,3,2,6,6,10,6,1,5,3,4,2,1,3,4,2,8,0,5,7,5,5,4,2,6,1,2,7,3,1,0,3,4,4,2,4,3,3,0,7,5,4,2,5,7,4,2,2,2,2,1,1,2,2,0,1,0,1,0,3,0,3,40
23,E00041399,159,159,100.0,96.9,84.9,0.0,0.0,0.0,0.0,19.5,0.0,0.0,159,154,135,0,0,0,0,31,0,0,15.1,84.9,0.0,0.0,0.0,0.0,24,135,0,0,0,0,"(80.0, 100.0]","(0.0, 37.0]",First quartile,England,E00041399,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041399,E01008170,255,1,2,0,0,1,0,1,1,1,1,1,1,1,0,1,4,1,0,0,1,4,2,1,0,4,12,7,8,12,9,9,9,2,3,1,4,5,5,4,1,7,0,2,3,10,5,2,3,2,2,4,10,4,5,1,5,2,7,6,3,2,0,4,2,1,3,4,1,0,1,3,3,3,2,6,4,1,1,1,3,2,2,1,1,1,0,0,0,0,0,0,10
24,E00041400,135,135,100.0,89.6,89.6,0.0,0.0,0.0,0.0,89.6,0.0,0.0,135,121,121,0,0,0,0,121,0,0,10.4,89.6,0.0,0.0,0.0,0.0,14,121,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041400,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041400,E01008167,303,3,6,1,2,1,2,2,1,2,6,4,1,3,0,5,4,3,2,0,4,1,4,7,10,4,3,6,5,8,6,5,2,4,5,3,6,4,4,3,2,3,3,4,3,3,5,7,5,6,6,3,2,3,1,5,4,2,4,3,2,6,0,1,2,3,3,4,0,3,6,3,3,2,4,2,1,2,0,3,2,4,1,1,2,2,4,5,3,2,2,9,31
25,E00041401,143,143,100.0,93.0,93.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,143,133,133,0,0,0,0,133,0,0,7.0,93.0,0.0,0.0,0.0,0.0,10,133,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041401,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041401,E01008169,265,4,6,2,3,3,3,4,9,5,1,4,3,2,3,6,2,5,3,2,7,3,3,6,2,2,3,3,6,4,4,5,7,10,8,6,10,3,3,7,8,4,3,3,6,1,5,1,2,7,0,2,3,1,1,1,1,1,4,1,2,1,2,4,4,3,2,0,2,2,1,2,1,0,2,2,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,2,47
26,E00041402,148,148,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,148,148,148,0,0,0,0,148,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,148,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041402,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041402,E01008167,443,11,9,12,12,7,9,8,9,9,9,4,6,4,8,3,4,6,6,9,5,7,5,6,9,8,10,11,8,7,6,6,4,2,7,9,6,8,5,9,8,6,2,3,5,6,8,2,7,8,5,7,8,4,3,3,5,5,1,4,3,3,5,4,1,4,4,0,0,7,3,1,2,3,6,1,2,0,1,2,1,2,0,1,1,0,1,2,0,0,0,0,105
27,E00041404,125,125,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,125,125,125,0,0,0,0,125,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,125,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041404,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041404,E01008170,304,3,4,1,1,2,1,2,3,2,0,3,0,2,4,1,4,6,4,4,3,6,4,10,5,6,5,5,5,3,4,4,3,3,4,2,4,5,1,2,3,4,1,2,3,3,4,2,2,3,5,6,6,8,7,6,10,2,10,2,9,4,4,8,6,1,2,3,3,5,4,7,2,3,5,5,2,1,2,1,3,1,1,1,0,0,0,0,0,0,1,0,22
28,E00041405,133,133,100.0,98.5,97.7,0.0,0.0,0.0,0.0,97.7,0.0,0.0,133,131,130,0,0,0,0,130,0,0,2.3,97.7,0.0,0.0,0.0,0.0,3,130,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041405,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041405,E01008170,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,1,3,3,7,1,0,3,2,3,6,3,3,2,3,2,2,4,3,6,2,3,3,1,3,4,1,2,1,5,1,1,1,1,1,2,1,4,1,2,1,2,0,0,0,1,4,1
29,E00041406,162,162,100.0,96.3,96.3,0.0,0.0,0.0,0.0,95.7,0.0,0.0,162,156,156,0,0,0,0,155,0,0,3.7,96.3,0.0,0.0,0.0,0.0,6,156,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041406,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041406,E01008170,288,5,4,1,1,2,4,1,5,3,0,4,1,2,0,7,1,5,0,1,2,4,4,6,5,6,10,11,8,11,9,4,4,6,6,7,4,4,4,6,3,5,8,4,7,8,1,5,6,3,4,1,4,2,6,5,4,5,3,3,4,3,4,0,5,3,2,0,1,3,0,3,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,31
